scenario,method,block,rows,sumsq,share
biped_rabbit/idle,f64,ComOffsetConstraint,2,0.114656,0.8364
biped_rabbit/idle,f64,PosePriorConstraint,18,0.0220955,0.1612
biped_rabbit/idle,f64,ThetaSmoothnessConstraint,18,5.85341E-12,4.27E-11
biped_rabbit/idle,f64_to_f32,PlantedContactsConstraint,0,0,0
biped_rabbit/idle,f64_to_f32,FixedPointConstraint,0,0,0
biped_rabbit/idle,f64_to_f32,NoPenetrationConstraint,18,0.000328222,0.002394
biped_rabbit/idle,f64_to_f32,ActionAimConstraint,0,0,0
biped_rabbit/idle,f64_to_f32,PlaybackContinuityConstraint,1,0,0
biped_rabbit/idle,f64_to_f32,PhaseRateFloorConstraint,1,0,0
biped_rabbit/idle,f64_to_f32,ComOffsetConstraint,2,0.114653,0.8364
biped_rabbit/idle,f64_to_f32,PosePriorConstraint,18,0.0220983,0.1612
biped_rabbit/idle,f64_to_f32,ThetaSmoothnessConstraint,18,2.11861E-08,1.546E-07
biped_rabbit/idle,qr,PlantedContactsConstraint,0,0,0
biped_rabbit/idle,qr,FixedPointConstraint,0,0,0
biped_rabbit/idle,qr,NoPenetrationConstraint,18,0.000328246,0.002395
biped_rabbit/idle,qr,ActionAimConstraint,0,0,0
biped_rabbit/idle,qr,PlaybackContinuityConstraint,1,0,0
biped_rabbit/idle,qr,PhaseRateFloorConstraint,1,0,0
biped_rabbit/idle,qr,ComOffsetConstraint,2,0.114656,0.8364
biped_rabbit/idle,qr,PosePriorConstraint,18,0.0220956,0.1612
biped_rabbit/idle,qr,ThetaSmoothnessConstraint,18,5.8798E-12,4.289E-11
biped_rabbit/run,f32,PlantedContactsConstraint,2,0.0181552,0.04463
biped_rabbit/run,f32,FixedPointConstraint,0,0,0
biped_rabbit/run,f32,NoPenetrationConstraint,18,0,0
biped_rabbit/run,f32,ActionAimConstraint,0,0,0
biped_rabbit/run,f32,PlaybackContinuityConstraint,1,2.55646E-07,6.284E-07
biped_rabbit/run,f32,PhaseRateFloorConstraint,1,0,0
biped_rabbit/run,f32,ComOffsetConstraint,2,0.360817,0.887
biped_rabbit/run,f32,PosePriorConstraint,18,0.01713,0.04211
biped_rabbit/run,f32,ThetaSmoothnessConstraint,18,0.0106963,0.02629
biped_rabbit/run,f64,PlantedContactsConstraint,2,0.0132046,0.03949
biped_rabbit/run,f64,FixedPointConstraint,0,0,0
biped_rabbit/run,f64,NoPenetrationConstraint,18,0,0
biped_rabbit/run,f64,ActionAimConstraint,0,0,0
biped_rabbit/run,f64,PlaybackContinuityConstraint,1,1.96436E-05,5.875E-05
biped_rabbit/run,f64,PhaseRateFloorConstraint,1,0,0
biped_rabbit/run,f64,ComOffsetConstraint,2,0.267588,0.8003
biped_rabbit/run,f64,PosePriorConstraint,18,0.0299207,0.08948
biped_rabbit/run,f64,ThetaSmoothnessConstraint,18,0.0236342,0.07068
biped_rabbit/run,f64_to_f32,PlantedContactsConstraint,2,0.0181145,0.04461
biped_rabbit/run,f64_to_f32,FixedPointConstraint,0,0,0
biped_rabbit/run,f64_to_f32,NoPenetrationConstraint,18,0,0
biped_rabbit/run,f64_to_f32,ActionAimConstraint,0,0,0
biped_rabbit/run,f64_to_f32,PlaybackContinuityConstraint,1,2.8929E-07,7.124E-07
biped_rabbit/run,f64_to_f32,PhaseRateFloorConstraint,1,0,0
biped_rabbit/run,f64_to_f32,ComOffsetConstraint,2,0.360288,0.8872
biped_rabbit/run,f64_to_f32,PosePriorConstraint,18,0.0170863,0.04207
biped_rabbit/run,f64_to_f32,ThetaSmoothnessConstraint,18,0.010606,0.02612
biped_rabbit/run,qr,PlantedContactsConstraint,2,0.0183455,0.04487
biped_rabbit/run,qr,FixedPointConstraint,0,0,0
biped_rabbit/run,qr,NoPenetrationConstraint,18,0,0
biped_rabbit/run,qr,ActionAimConstraint,0,0,0
biped_rabbit/run,qr,PlaybackContinuityConstraint,1,1.23559E-07,3.022E-07
biped_rabbit/run,qr,PhaseRateFloorConstraint,1,0,0
biped_rabbit/run,qr,ComOffsetConstraint,2,0.362464,0.8866
biped_rabbit/run,qr,PosePriorConstraint,18,0.0172642,0.04223
biped_rabbit/run,qr,ThetaSmoothnessConstraint,18,0.0107566,0.02631
